iter	TotalF1	MultiClass
0	0.688013781	1.263650753
1	0.7420977687	1.156394128
2	0.7451620328	1.071230629
3	0.7591553032	1.008079461
4	0.761155498	0.9425072861
5	0.7855072111	0.890787487
6	0.7893495413	0.84420354
7	0.788400538	0.8131806448
8	0.7896893225	0.784018181
9	0.7902471284	0.7530518269
10	0.7909915926	0.7235667095
11	0.7905657238	0.7016387533
12	0.7901543571	0.6782771834
13	0.7914016995	0.6604675464
14	0.792508732	0.6435868811
15	0.7930943569	0.6297516107
16	0.7941145596	0.6180261887
17	0.7950774443	0.6052809034
18	0.7961162262	0.5966104919
19	0.7973847012	0.5834124791
20	0.7979156158	0.5725943364
21	0.7986055643	0.5651504545
22	0.7981757121	0.5576936565
23	0.7986345944	0.549164517
24	0.799143163	0.5417723437
25	0.8016484941	0.5365714071
26	0.8020245181	0.5312647494
27	0.8018989619	0.5292636957
28	0.8017826737	0.5239469133
29	0.8021918117	0.519135492
30	0.8018291815	0.5168098516
31	0.8027338198	0.5125996295
32	0.8023348732	0.5098674399
33	0.8027666303	0.5073534174
34	0.8033128613	0.5051380345
35	0.8025972256	0.5034126303
36	0.8026648439	0.5006961863
37	0.8036528656	0.4986970841
38	0.804101138	0.4957276151
39	0.8035298947	0.4943127774
40	0.8034166654	0.4931994108
41	0.804579487	0.4917178956
42	0.8044168127	0.4903710926
43	0.8045728487	0.4896344416
44	0.8048002441	0.4891913391
45	0.8048262365	0.4884169366
46	0.8050628022	0.4880340004
47	0.8054437358	0.4873393348
48	0.805078955	0.4863700509
49	0.8060870841	0.4857483256
50	0.8062265749	0.4839079922
51	0.8059154472	0.4833804981
52	0.806847114	0.4822809321
53	0.8066382037	0.4815086771
54	0.8064267551	0.4804024167
55	0.8065605507	0.4799724864
56	0.8072945131	0.4786886949
57	0.8079838452	0.4776486581
58	0.8077749172	0.477101726
59	0.8083466662	0.4760472368
60	0.8081060849	0.475635196
61	0.808350065	0.4749116837
62	0.809253183	0.4739936106
63	0.8093625955	0.4735713223
64	0.8091289878	0.4726553461
65	0.8096313983	0.4718698657
66	0.8095721983	0.4713048032
67	0.8095973527	0.4707383192
68	0.8094208751	0.470045108
69	0.809733874	0.4696088474
70	0.8097645216	0.4691102498
71	0.8098720342	0.4686124216
72	0.8098614958	0.4683883388
73	0.8097879631	0.4677625361
74	0.8095750975	0.4667386978
75	0.8097006006	0.4664395956
76	0.8094366531	0.4656998154
77	0.8092055042	0.4654524248
78	0.8091161008	0.4654219821
79	0.8091276103	0.465370156
80	0.809529246	0.4647259351
81	0.8098273463	0.4641749436
82	0.8098209581	0.4637224513
83	0.8097940096	0.4636190181
84	0.8103600663	0.463040917
85	0.8100647076	0.4622637433
86	0.8100758273	0.4617920739
87	0.8103637711	0.4616159782
88	0.8107562167	0.4609176347
89	0.8106924587	0.4608382579
90	0.8111252088	0.4603112434
91	0.8116124821	0.4592026396
92	0.8121056732	0.4588177694
93	0.8122254971	0.4579703295
94	0.8121589462	0.4577586428
95	0.8121437798	0.4574295825
96	0.8122158092	0.4568666771
97	0.8125911052	0.4566142232
98	0.8125068033	0.4555362431
99	0.8124108444	0.4545277289
100	0.813018517	0.4539410285
101	0.8130334759	0.4529867132
102	0.8132833845	0.4522545519
103	0.8133331607	0.4517503861
104	0.8135765629	0.4505943329
105	0.8134714696	0.4500652995
106	0.8136331281	0.4497029171
107	0.8136418646	0.4494505063
108	0.8138048252	0.4488079004
109	0.8139240361	0.4482884732
110	0.8139087179	0.4470613909
111	0.8142199067	0.4467482656
112	0.8143072297	0.4461475601
113	0.8147984106	0.4456112793
114	0.8150927875	0.4451205417
115	0.8150195012	0.4446320532
116	0.814859764	0.4441837031
117	0.8148816174	0.4439946455
118	0.8148010784	0.443401458
119	0.8148427892	0.442867025
120	0.8150267207	0.442457855
121	0.8153448711	0.4417990889
122	0.8160728958	0.441588504
123	0.8157175548	0.4413561211
124	0.8159546791	0.4409572112
125	0.8161529322	0.4408713707
126	0.8157391262	0.440667517
127	0.8156620871	0.4404289943
128	0.8157244875	0.4400859275
129	0.8157364217	0.4397722365
130	0.8158338211	0.4391663982
131	0.8158584662	0.4389289703
132	0.8158871148	0.4386511494
133	0.8162191874	0.4379909944
134	0.8164318092	0.4374958349
135	0.8159294195	0.4369963678
136	0.8170624873	0.4363861215
137	0.8170678333	0.436032262
138	0.8170539964	0.4356483169
139	0.8171052254	0.4349593438
140	0.8168971002	0.4348070964
141	0.8166373346	0.4342735159
142	0.8168219726	0.4335125721
143	0.8166822564	0.4332422014
144	0.8166070652	0.4330281071
145	0.8167647393	0.4324352888
146	0.8168240946	0.431909484
147	0.8171956619	0.4315098333
148	0.8170604438	0.4311329659
149	0.8172017503	0.4306535103
150	0.8175265586	0.4301205615
151	0.8172763102	0.4297914156
152	0.8177269165	0.4292647304
153	0.8178287709	0.4288143568
154	0.8177393094	0.4285736238
155	0.8179766869	0.4282851912
156	0.8179722702	0.4279082249
157	0.8183518073	0.42770616
158	0.8182418781	0.4275372877
159	0.8186024858	0.4268322305
160	0.8187471831	0.4266006638
161	0.8187939607	0.4264340066
162	0.818152127	0.4258618974
163	0.8186934883	0.4254426272
164	0.8192277014	0.4246509561
165	0.8192659064	0.4242946631
166	0.8189035351	0.4237517059
167	0.8189628743	0.4233046104
168	0.8196127246	0.4230314879
169	0.8204152398	0.422538221
170	0.8206845019	0.4219269012
171	0.8207428358	0.4216384006
172	0.8210585913	0.4212640513
173	0.8212724355	0.4209810848
174	0.8212373362	0.4207426885
175	0.8216249502	0.420491234
176	0.8217227974	0.4203590605
177	0.821783667	0.4198617319
178	0.8216693496	0.4194842203
179	0.8224334607	0.4188127391
180	0.8223546388	0.4186364479
181	0.8224667451	0.4184911931
182	0.8223540893	0.4179529151
183	0.8219830514	0.4174848802
184	0.822604118	0.4171267333
185	0.8225639327	0.4168900645
186	0.8227946213	0.4164393425
187	0.8229778267	0.4161528718
188	0.8231255146	0.4158208097
189	0.8231564175	0.4153920443
190	0.8231990975	0.4150195913
191	0.8234969396	0.414454396
192	0.8235814115	0.4142723044
193	0.8236916853	0.4138766862
194	0.8238131465	0.4131877828
195	0.8238876231	0.4128511199
196	0.8242090077	0.4126120547
197	0.8246147391	0.4123220932
198	0.8242945295	0.4120062804
199	0.8244792078	0.4116492453
200	0.8247498459	0.4114388712
201	0.8247498459	0.4111755607
202	0.8252385255	0.4108085019
203	0.8252750067	0.4103369635
204	0.8254430854	0.4101215006
205	0.8255210333	0.4099335229
206	0.8255187112	0.4094085125
207	0.826210368	0.4091311674
208	0.8263347117	0.4088164678
