iter	Passed	Remaining
0	81	16881
1	166	17186
2	252	17351
3	336	17246
4	428	17468
5	510	17255
6	601	17364
7	656	16503
8	743	16529
9	831	16550
10	921	16584
11	1003	16479
12	1093	16494
13	1180	16438
14	1267	16395
15	1349	16281
16	1429	16147
17	1515	16080
18	1602	16026
19	1688	15960
20	1782	15959
21	1870	15898
22	1959	15849
23	2045	15770
24	2141	15761
25	2224	15659
26	2309	15569
27	2347	15176
28	2433	15103
29	2515	15008
30	2600	14934
31	2689	14875
32	2775	14802
33	2866	14753
34	2948	14659
35	3034	14581
36	3118	14495
37	3199	14398
38	3284	14317
39	3373	14252
40	3452	14147
41	3531	14042
42	3613	13951
43	3701	13879
44	3787	13803
45	3876	13737
46	3961	13655
47	4045	13570
48	4131	13489
49	4212	13394
50	4297	13312
51	4372	13201
52	4454	13112
53	4543	13041
54	4630	12964
55	4712	12875
56	4800	12802
57	4897	12750
58	4977	12654
59	5068	12586
60	5148	12491
61	5230	12400
62	5315	12319
63	5396	12227
64	5481	12144
65	5573	12075
66	5655	11985
67	5733	11888
68	5823	11815
69	5906	11728
70	5990	11643
71	6070	11550
72	6146	11450
73	6221	11350
74	6301	11259
75	6374	11154
76	6457	11070
77	6510	10934
78	6561	10796
79	6611	10661
80	6692	10575
81	6781	10502
82	6874	10436
83	6947	10338
84	7032	10259
85	7116	10177
86	7197	10092
87	7278	10007
88	7364	9929
89	7437	9834
90	7514	9744
91	7602	9668
92	7684	9584
93	7775	9512
94	7856	9427
95	7937	9343
96	8022	9263
97	8097	9172
98	8182	9091
99	8264	9008
100	8346	8924
101	8431	8844
102	8513	8761
103	8597	8679
104	8687	8604
105	8773	8525
106	8857	8443
107	8943	8363
108	9027	8281
109	9103	8192
110	9188	8112
111	9273	8031
112	9355	7947
113	9436	7863
114	9516	7778
115	9591	7689
116	9673	7606
117	9753	7521
118	9848	7448
119	9929	7364
120	10013	7282
121	10087	7193
122	10171	7112
123	10246	7023
124	10334	6944
125	10407	6856
126	10487	6771
127	10575	6692
128	10661	6612
129	10750	6532
130	10843	6456
131	10917	6368
132	10992	6281
133	11071	6196
134	11159	6117
135	11246	6036
136	11331	5955
137	11408	5869
138	11490	5786
139	11578	5706
140	11652	5619
141	11741	5540
142	11831	5460
143	11915	5378
144	12000	5296
145	12086	5215
146	12169	5132
147	12255	5051
148	12341	4969
149	12426	4887
150	12513	4806
151	12596	4723
152	12685	4643
153	12768	4560
154	12848	4476
155	12932	4393
156	13020	4312
157	13106	4230
158	13191	4148
159	13277	4066
160	13361	3983
161	13438	3898
162	13522	3816
163	13609	3734
164	13691	3650
165	13772	3567
166	13869	3488
167	13947	3403
168	14030	3320
169	14120	3239
170	14212	3158
171	14296	3075
172	14381	2992
173	14464	2909
174	14542	2825
175	14615	2740
176	14704	2658
177	14799	2577
178	14880	2494
179	14961	2410
180	15036	2326
181	15113	2242
182	15196	2159
183	15282	2076
184	15367	1993
185	15446	1910
186	15530	1827
187	15618	1744
188	15704	1661
189	15799	1579
190	15883	1496
191	15965	1413
192	16039	1329
193	16120	1246
194	16201	1163
195	16286	1080
196	16373	997
197	16451	913
198	16533	830
199	16609	747
200	16693	664
201	16785	581
202	16869	498
203	16955	415
204	17035	332
205	17114	249
206	17200	166
207	17282	83
208	17369	0
