event_id,hashed_card_id,mode,route_id,tap_in_stop_id,tap_in_time,tap_out_stop_id,tap_out_time,transfer_flag
1,user_032,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:21:00,MRT_DUKUH_ATAS,2026-05-23 08:43:00,0
2,user_076,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:34:00,TJ_SENAYAN,2026-05-23 09:09:00,0
3,user_065,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:03:00,TJ_DUKUH_ATAS,2026-05-23 07:12:00,0
4,user_029,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:31:00,KRL_SUDIRMAN,2026-05-23 09:07:00,0
5,user_090,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:43:00,TJ_SENAYAN,2026-05-23 09:18:00,0
6,user_014,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:35:00,MRT_DUKUH_ATAS,2026-05-23 07:48:00,1
7,user_078,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:12:00,MRT_DUKUH_ATAS,2026-05-23 07:36:00,0
8,user_119,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:33:00,TJ_BLOK_M,2026-05-23 09:05:00,0
9,user_074,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:10:00,MRT_DUKUH_ATAS,2026-05-23 08:30:00,0
10,user_011,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:05:00,MRT_DUKUH_ATAS,2026-05-23 07:27:00,0
11,user_021,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:48:00,MRT_DUKUH_ATAS,2026-05-23 08:19:00,0
12,user_078,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:26:00,TJ_BLOK_M,2026-05-23 07:44:00,0
13,user_119,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:20:00,MRT_DUKUH_ATAS,2026-05-23 08:03:00,0
14,user_030,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:27:00,TJ_SENAYAN,2026-05-23 08:37:00,0
15,user_117,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:51:00,TJ_DUKUH_ATAS,2026-05-23 08:35:00,0
16,user_114,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:27:00,KRL_SUDIRMAN,2026-05-23 08:04:00,0
17,user_096,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:33:00,MRT_DUKUH_ATAS,2026-05-23 08:18:00,1
