event_id,hashed_card_id,mode,operator,route_id,trip_id,tap_in_stop_id,tap_in_time,tap_out_stop_id,tap_out_time,payment_channel,fare_product,transfer_flag,validation_status
E00000,u0429,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 09:18:00,TJ_SENAYAN,2026-05-23 09:50:00,kmt,student,True,valid
E00001,u0092,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 08:41:00,LRT_VELODROME,2026-05-23 08:59:00,emoney,regular,False,valid
E00002,u0114,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 10:07:00,MRT_DUKUH_ATAS,2026-05-23 10:27:00,emoney,regular,True,valid
E00003,u0339,Transjakarta,Transjakarta,TJ_1,,TJ_TANAH_ABANG,2026-05-23 08:48:00,KRL_MANGGARAI,2026-05-23 09:22:00,app,regular,False,valid
E00004,u0077,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 09:31:00,MRT_BLOK_M,2026-05-23 09:59:00,qris_tap,regular,False,valid
E00005,u0343,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 08:11:00,LRT_VELODROME,2026-05-23 08:45:00,kmt,regular,True,valid
E00006,u0416,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 09:39:00,TJ_TANAH_ABANG,2026-05-23 09:54:00,app,student,True,valid
E00007,u0416,Transjakarta,Transjakarta,TJ_1,,TJ_BUNDARAN_HI,2026-05-23 09:07:00,KRL_MANGGARAI,2026-05-23 09:38:00,bank_card,regular,True,valid
E00008,u0352,MRT,MRT,MRT_NS,,MRT_DUKUH_ATAS,2026-05-23 09:17:00,TJ_SENAYAN,2026-05-23 09:39:00,kmt,regular,False,valid
E00009,u0040,MRT,MRT,MRT_NS,,MRT_DUKUH_ATAS,2026-05-23 10:29:00,MRT_BUNDARAN_HI,2026-05-23 10:54:00,app,regular,False,valid
E00010,u0152,Transjakarta,Transjakarta,TJ_1,,TJ_CAWANG,2026-05-23 09:35:00,KRL_TANAH_ABANG,2026-05-23 09:57:00,emoney,regular,False,valid
E00011,u0458,Transjakarta,Transjakarta,TJ_1,,TJ_DUKUH_ATAS,2026-05-23 07:43:00,TJ_HARMONI,2026-05-23 08:00:00,qris_tap,regular,True,valid
E00012,u0332,MRT,MRT,MRT_NS,,MRT_BUNDARAN_HI,2026-05-23 08:34:00,LRT_VELODROME,2026-05-23 08:56:00,qris_tap,regular,False,valid
E00013,u0450,MRT,MRT,MRT_NS,,MRT_BLOK_M,2026-05-23 08:37:00,TJ_TANAH_ABANG,2026-05-23 09:05:00,kmt,regular,True,valid
E00014,u0191,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 09:26:00,TJ_TANAH_ABANG,2026-05-23 09:47:00,app,regular,False,valid
E00015,u0229,KRL,KRL,KRL_BK,,KRL_KAMPUNG_BANDAN,2026-05-23 07:40:00,TJ_CAWANG,2026-05-23 08:08:00,qris_tap,senior,False,valid
E00016,u0225,MRT,MRT,MRT_NS,,MRT_DUKUH_ATAS,2026-05-23 08:38:00,KRL_TANAH_ABANG,2026-05-23 09:01:00,kmt,regular,True,valid
E00017,u0232,Transjakarta,Transjakarta,TJ_1,,TJ_BUNDARAN_HI,2026-05-23 07:16:00,KRL_KAMPUNG_BANDAN,2026-05-23 07:42:00,emoney,student,True,valid
E00018,u0314,Transjakarta,Transjakarta,TJ_1,,TJ_MANGGARAI,2026-05-23 08:28:00,TJ_CAWANG,2026-05-23 09:05:00,app,regular,False,valid
E00019,u0339,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 09:13:00,TJ_DUKUH_ATAS,2026-05-23 09:44:00,bank_card,regular,True,valid
E00020,u0290,KRL,KRL,KRL_BK,,KRL_MANGGARAI,2026-05-23 08:21:00,LRT_VELODROME,2026-05-23 08:34:00,qris_tap,senior,False,valid
E00021,u0335,MRT,MRT,MRT_NS,,MRT_BUNDARAN_HI,2026-05-23 07:59:00,TJ_BLOK_M,2026-05-23 08:30:00,kmt,senior,False,valid
E00022,u0134,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 08:00:00,KRL_MANGGARAI,2026-05-23 08:18:00,emoney,regular,False,valid
E00023,u0158,KRL,KRL,KRL_BK,,KRL_TANAH_ABANG,2026-05-23 10:03:00,TJ_KAMPUNG_BANDAN,2026-05-23 10:19:00,bank_card,regular,False,valid
E00024,u0384,MRT,MRT,MRT_NS,,MRT_BLOK_M,2026-05-23 08:56:00,KRL_KAMPUNG_BANDAN,2026-05-23 09:28:00,emoney,regular,False,valid
E00025,u0481,Transjakarta,Transjakarta,TJ_1,,TJ_TANAH_ABANG,2026-05-23 08:16:00,TJ_HARMONI,2026-05-23 08:34:00,qris_tap,senior,False,valid
E00026,u0128,Transjakarta,Transjakarta,TJ_1,,TJ_LEBAK_BULUS,2026-05-23 09:23:00,KRL_KAMPUNG_BANDAN,2026-05-23 09:42:00,kmt,regular,True,valid
E00027,u0112,KRL,KRL,KRL_BK,,KRL_TANAH_ABANG,2026-05-23 07:43:00,TJ_BLOK_M,2026-05-23 08:20:00,emoney,regular,False,valid
E00028,u0331,MRT,MRT,MRT_NS,,MRT_BUNDARAN_HI,2026-05-23 10:18:00,TJ_LEBAK_BULUS,2026-05-23 10:44:00,app,regular,True,valid
E00029,u0446,Transjakarta,Transjakarta,TJ_1,,TJ_DUKUH_ATAS,2026-05-23 07:46:00,KRL_SUDIRMAN,2026-05-23 08:24:00,bank_card,regular,False,valid
E00030,u0099,KRL,KRL,KRL_BK,,KRL_SUDIRMAN,2026-05-23 10:27:00,TJ_BLOK_M,2026-05-23 10:37:00,qris_tap,regular,False,valid
E00031,u0009,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 08:50:00,LRT_VELODROME,2026-05-23 09:26:00,app,regular,True,valid
E00032,u0290,MRT,MRT,MRT_NS,,MRT_DUKUH_ATAS,2026-05-23 08:57:00,KRL_TANAH_ABANG,2026-05-23 09:14:00,bank_card,student,False,valid
E00033,u0486,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 09:01:00,KRL_SUDIRMAN,2026-05-23 09:29:00,qris_tap,regular,False,valid
E00034,u0143,KRL,KRL,KRL_BK,,KRL_CAWANG,2026-05-23 09:32:00,MRT_DUKUH_ATAS,2026-05-23 09:51:00,kmt,regular,True,valid
E00035,u0083,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 07:54:00,MRT_BUNDARAN_HI,2026-05-23 08:20:00,kmt,senior,False,valid
E00036,u0392,Transjakarta,Transjakarta,TJ_1,,TJ_HARMONI,2026-05-23 08:42:00,MRT_LEBAK_BULUS,2026-05-23 09:09:00,qris_tap,student,True,valid
E00037,u0376,Transjakarta,Transjakarta,TJ_1,,TJ_LEBAK_BULUS,2026-05-23 06:51:00,KRL_MANGGARAI,2026-05-23 07:00:00,app,regular,False,valid
E00038,u0433,Transjakarta,Transjakarta,TJ_1,,TJ_SENAYAN,2026-05-23 08:07:00,LRT_VELODROME,2026-05-23 08:20:00,qris_tap,student,True,valid
E00039,u0179,Transjakarta,Transjakarta,TJ_1,,TJ_BLOK_M,2026-05-23 10:50:00,TJ_HARMONI,2026-05-23 10:58:00,bank_card,student,False,valid
