stop_id,route_id,hour,day_of_week,tap_in_count_15m,scheduled_headway_minutes,vehicle_capacity,event_flag,rainfall_level,density_level,load_factor
MRT_DUKUH_ATAS,MKT_01,16,0,19,12,12,1,1,OVERLOADED,1.583
MRT_DUKUH_ATAS,MKT_01,9,1,7,12,12,0,2,MEDIUM,0.583
TJ_DUKUH_ATAS,MRT_NS,13,3,394,5,1200,1,0,LOW,0.328
TJ_DUKUH_ATAS,KRL_CL,11,4,833,5,1200,0,0,MEDIUM,0.694
TJ_BLOK_M,KRL_CL,6,6,489,5,1200,0,0,LOW,0.407
MRT_DUKUH_ATAS,TJ_02,17,0,167,8,80,1,0,OVERLOADED,2.087
KRL_TANAH_ABANG,TJ_02,17,5,128,8,80,0,1,OVERLOADED,1.6
TJ_BLOK_M,TJ_02,17,6,83,8,80,1,0,OVERLOADED,1.038
MRT_DUKUH_ATAS,TJ_02,6,1,32,8,80,0,3,LOW,0.4
KRL_CAWANG,KRL_CL,14,6,804,5,1200,0,0,MEDIUM,0.67
TJ_DUKUH_ATAS,TJ_01,6,3,54,8,80,0,0,MEDIUM,0.675
KRL_TANAH_ABANG,TJ_01,14,6,87,8,80,1,0,OVERLOADED,1.087
KRL_TANAH_ABANG,MKT_01,7,1,8,12,12,1,2,MEDIUM,0.667
TJ_BLOK_M,TJ_01,13,6,43,8,80,0,0,MEDIUM,0.537
KRL_CAWANG,KRL_CL,16,0,1700,5,1200,0,3,OVERLOADED,1.417
KRL_TANAH_ABANG,MRT_NS,22,1,516,5,1200,0,0,LOW,0.43
KRL_CAWANG,KRL_CL,9,5,1964,5,1200,0,1,OVERLOADED,1.637
KRL_TANAH_ABANG,MRT_NS,9,3,1184,5,1200,1,2,HIGH,0.987
TJ_DUKUH_ATAS,MRT_NS,6,5,1176,5,1200,1,0,HIGH,0.98
TJ_DUKUH_ATAS,MRT_NS,19,6,1679,5,1200,0,0,OVERLOADED,1.399
KRL_CAWANG,KRL_CL,15,2,140,5,1200,0,0,LOW,0.117
MRT_DUKUH_ATAS,TJ_01,9,6,172,8,80,1,3,OVERLOADED,2.15
TJ_CAWANG,TJ_02,12,3,53,8,80,1,3,MEDIUM,0.662
TJ_BLOK_M,MKT_01,13,3,4,12,12,1,2,LOW,0.333
MRT_DUKUH_ATAS,KRL_CL,6,0,821,5,1200,1,0,MEDIUM,0.684
TJ_BLOK_M,MKT_01,21,5,7,12,12,0,0,MEDIUM,0.583
TJ_DUKUH_ATAS,KRL_CL,12,1,744,5,1200,0,0,MEDIUM,0.62
MRT_DUKUH_ATAS,MRT_NS,13,5,812,5,1200,0,0,MEDIUM,0.677
KRL_CAWANG,TJ_01,11,1,33,8,80,0,0,LOW,0.412
TJ_CAWANG,MRT_NS,8,0,1934,5,1200,1,3,OVERLOADED,1.612
TJ_CAWANG,KRL_CL,9,5,1671,5,1200,0,3,OVERLOADED,1.393
TJ_BLOK_M,TJ_01,6,0,68,8,80,0,3,HIGH,0.85
TJ_DUKUH_ATAS,TJ_02,17,6,114,8,80,1,0,OVERLOADED,1.425
TJ_CAWANG,TJ_01,6,5,20,8,80,0,3,LOW,0.25
KRL_CAWANG,TJ_02,10,3,64,8,80,1,1,HIGH,0.8
TJ_DUKUH_ATAS,KRL_CL,7,3,1555,5,1200,0,0,OVERLOADED,1.296
KRL_CAWANG,MKT_01,8,4,11,12,12,0,1,HIGH,0.917
TJ_CAWANG,TJ_01,17,3,50,8,80,0,0,MEDIUM,0.625
KRL_CAWANG,MKT_01,16,4,11,12,12,0,2,HIGH,0.917
TJ_BLOK_M,TJ_02,20,3,16,8,80,0,1,LOW,0.2
TJ_CAWANG,TJ_01,15,6,35,8,80,0,0,LOW,0.438
TJ_DUKUH_ATAS,TJ_01,19,4,70,8,80,0,0,HIGH,0.875
MRT_DUKUH_ATAS,MRT_NS,21,0,648,5,1200,1,3,MEDIUM,0.54
TJ_DUKUH_ATAS,MKT_01,17,6,12,12,12,1,2,OVERLOADED,1.0
TJ_CAWANG,TJ_01,19,0,60,8,80,0,1,HIGH,0.75
TJ_CAWANG,TJ_01,6,2,21,8,80,0,0,LOW,0.263
KRL_TANAH_ABANG,MRT_NS,15,3,469,5,1200,0,1,LOW,0.391
KRL_CAWANG,TJ_01,6,0,44,8,80,0,0,MEDIUM,0.55
TJ_DUKUH_ATAS,MRT_NS,21,3,352,5,1200,0,0,LOW,0.293
TJ_BLOK_M,MKT_01,22,4,11,12,12,1,1,HIGH,0.917
TJ_BLOK_M,TJ_02,22,5,85,8,80,1,0,OVERLOADED,1.062
TJ_DUKUH_ATAS,MKT_01,16,4,11,12,12,0,3,HIGH,0.917
KRL_TANAH_ABANG,MKT_01,9,0,18,12,12,0,3,OVERLOADED,1.5
TJ_BLOK_M,TJ_02,8,1,67,8,80,0,3,HIGH,0.838
TJ_CAWANG,TJ_02,13,5,66,8,80,0,2,HIGH,0.825
TJ_CAWANG,MRT_NS,15,0,777,5,1200,1,3,MEDIUM,0.647
MRT_DUKUH_ATAS,KRL_CL,16,4,2048,5,1200,0,0,OVERLOADED,1.707
TJ_CAWANG,KRL_CL,5,2,868,5,1200,0,1,MEDIUM,0.723
TJ_DUKUH_ATAS,MRT_NS,15,0,667,5,1200,0,1,MEDIUM,0.556
TJ_BLOK_M,KRL_CL,13,4,537,5,1200,1,2,LOW,0.448
KRL_TANAH_ABANG,KRL_CL,21,4,694,5,1200,0,3,MEDIUM,0.578
KRL_TANAH_ABANG,KRL_CL,19,6,1079,5,1200,0,1,HIGH,0.899
TJ_BLOK_M,TJ_02,11,6,17,8,80,0,0,LOW,0.212
TJ_BLOK_M,TJ_01,16,4,53,8,80,0,1,MEDIUM,0.662
TJ_DUKUH_ATAS,KRL_CL,6,4,587,5,1200,0,1,MEDIUM,0.489
KRL_TANAH_ABANG,TJ_02,6,5,41,8,80,0,2,MEDIUM,0.512
KRL_CAWANG,KRL_CL,13,5,348,5,1200,0,3,LOW,0.29
TJ_DUKUH_ATAS,MKT_01,20,0,7,12,12,1,2,MEDIUM,0.583
TJ_DUKUH_ATAS,MRT_NS,21,5,571,5,1200,0,3,MEDIUM,0.476
KRL_CAWANG,MRT_NS,12,0,739,5,1200,0,2,MEDIUM,0.616
MRT_DUKUH_ATAS,TJ_01,20,4,26,8,80,0,2,LOW,0.325
KRL_TANAH_ABANG,TJ_02,16,1,54,8,80,0,0,MEDIUM,0.675
MRT_DUKUH_ATAS,MKT_01,16,0,23,12,12,1,1,OVERLOADED,1.917
TJ_BLOK_M,TJ_02,14,4,39,8,80,0,1,MEDIUM,0.487
KRL_TANAH_ABANG,TJ_01,16,2,94,8,80,0,2,OVERLOADED,1.175
KRL_TANAH_ABANG,TJ_01,16,4,166,8,80,1,2,OVERLOADED,2.075
KRL_CAWANG,KRL_CL,11,6,508,5,1200,0,0,LOW,0.423
TJ_CAWANG,KRL_CL,15,5,875,5,1200,0,1,MEDIUM,0.729
TJ_BLOK_M,MRT_NS,7,4,1487,5,1200,1,0,OVERLOADED,1.239
KRL_CAWANG,MRT_NS,20,3,903,5,1200,0,0,HIGH,0.752
MRT_DUKUH_ATAS,MRT_NS,22,6,576,5,1200,0,1,MEDIUM,0.48
MRT_DUKUH_ATAS,MKT_01,16,0,11,12,12,1,3,HIGH,0.917
KRL_CAWANG,MKT_01,10,6,4,12,12,0,0,LOW,0.333
KRL_TANAH_ABANG,MRT_NS,14,4,682,5,1200,1,2,MEDIUM,0.568
KRL_TANAH_ABANG,KRL_CL,18,2,225,5,1200,0,2,LOW,0.188
MRT_DUKUH_ATAS,KRL_CL,14,1,677,5,1200,0,2,MEDIUM,0.564
KRL_TANAH_ABANG,TJ_02,14,1,64,8,80,0,0,HIGH,0.8
TJ_CAWANG,MKT_01,10,4,12,12,12,1,0,OVERLOADED,1.0
KRL_TANAH_ABANG,MKT_01,10,3,4,12,12,0,2,LOW,0.333
TJ_DUKUH_ATAS,MKT_01,10,2,9,12,12,1,1,HIGH,0.75
TJ_CAWANG,KRL_CL,11,2,273,5,1200,1,0,LOW,0.228
KRL_CAWANG,TJ_02,11,4,43,8,80,0,0,MEDIUM,0.537
TJ_BLOK_M,MKT_01,14,1,7,12,12,0,1,MEDIUM,0.583
TJ_BLOK_M,KRL_CL,12,3,859,5,1200,1,0,MEDIUM,0.716
TJ_DUKUH_ATAS,TJ_01,20,2,51,8,80,0,0,MEDIUM,0.637
KRL_TANAH_ABANG,TJ_01,5,3,20,8,80,0,1,LOW,0.25
MRT_DUKUH_ATAS,KRL_CL,18,2,898,5,1200,0,0,MEDIUM,0.748
KRL_CAWANG,TJ_01,10,6,70,8,80,0,2,HIGH,0.875
KRL_TANAH_ABANG,MRT_NS,21,5,651,5,1200,0,1,MEDIUM,0.542
TJ_DUKUH_ATAS,MKT_01,7,0,24,12,12,1,0,OVERLOADED,2.0
TJ_CAWANG,TJ_02,15,2,57,8,80,0,2,MEDIUM,0.713
TJ_BLOK_M,KRL_CL,9,3,2662,5,1200,1,3,OVERLOADED,2.218
MRT_DUKUH_ATAS,TJ_02,10,2,32,8,80,0,0,LOW,0.4
TJ_DUKUH_ATAS,TJ_02,21,6,39,8,80,1,1,MEDIUM,0.487
TJ_BLOK_M,MRT_NS,20,4,199,5,1200,0,0,LOW,0.166
KRL_TANAH_ABANG,TJ_01,20,5,72,8,80,0,2,HIGH,0.9
KRL_TANAH_ABANG,TJ_02,17,0,104,8,80,0,0,OVERLOADED,1.3
TJ_CAWANG,TJ_01,19,6,68,8,80,0,0,HIGH,0.85
KRL_TANAH_ABANG,TJ_01,21,3,43,8,80,0,0,MEDIUM,0.537
TJ_BLOK_M,TJ_02,10,3,39,8,80,0,0,MEDIUM,0.487
TJ_DUKUH_ATAS,TJ_01,16,4,95,8,80,0,0,OVERLOADED,1.188
TJ_DUKUH_ATAS,TJ_02,19,5,119,8,80,0,3,OVERLOADED,1.488
