route_id,stop_id,hour,day_of_week,traffic_level,rainfall_level,incident_flag,passenger_density_score,scheduled_travel_minutes,delay_minutes
TJ_01,TJ_TANAH_ABANG,13,5,1,0,1,0.381587194501582,9.0,4.517
TJ_01,TJ_BLOK_M,12,6,2,3,0,0.3073169626021058,20.0,4.378
TJ_02,TJ_CAWANG,12,2,2,2,0,0.5414793962116552,7.0,3.668
MKT_01,TJ_CAWANG,8,2,1,1,0,0.6195135333917432,11.0,6.244
TJ_01,TJ_BLOK_M,10,0,2,3,0,0.4722729389832154,22.0,5.544
MKT_01,TJ_DUKUH_ATAS,18,5,2,0,1,0.3261593986512349,11.0,7.817
TJ_02,TJ_DUKUH_ATAS,15,3,2,2,0,0.14070792097340526,9.0,2.737
MKT_01,TJ_LEBAK_BULUS,13,4,2,2,0,0.49752295122738477,8.0,3.82
MKT_01,TJ_TANAH_ABANG,18,4,2,0,0,0.7449116713138351,16.0,4.445
TJ_01,TJ_TANAH_ABANG,18,5,5,2,1,0.13268536371949458,7.0,9.871
MKT_01,TJ_TANAH_ABANG,15,1,1,1,0,0.12330360581623187,21.0,3.612
TJ_01,TJ_LEBAK_BULUS,17,5,3,0,1,0.27902899410804494,15.0,11.235
TJ_01,TJ_BLOK_M,16,3,3,0,0,0.12582485387316472,19.0,5.165
TJ_01,TJ_TANAH_ABANG,21,1,1,3,0,0.3332434136746819,20.0,3.75
MKT_01,TJ_TANAH_ABANG,20,3,1,1,0,0.6288977668563784,17.0,2.217
TJ_01,TJ_LEBAK_BULUS,11,5,1,0,0,0.2059976862690733,19.0,2.625
TJ_02,TJ_LEBAK_BULUS,22,5,2,0,1,0.345437500883046,6.0,6.53
TJ_01,TJ_LEBAK_BULUS,20,6,3,0,0,0.7902959440167865,7.0,2.174
TJ_01,TJ_TANAH_ABANG,12,4,2,3,0,0.27191680348707103,15.0,3.261
TJ_02,TJ_DUKUH_ATAS,15,0,0,1,0,0.18589517741034203,15.0,0.562
MKT_01,TJ_DUKUH_ATAS,19,0,4,1,0,0.3559866442196234,20.0,7.393
MKT_01,TJ_CAWANG,9,5,2,0,0,0.7264076017448,8.0,7.731
TJ_01,TJ_LEBAK_BULUS,22,6,2,1,0,0.23206564023176204,14.0,5.357
TJ_01,TJ_TANAH_ABANG,16,0,4,0,0,0.5683124638650533,19.0,3.615
TJ_01,TJ_LEBAK_BULUS,5,2,2,2,0,0.273399164584216,18.0,2.552
MKT_01,TJ_DUKUH_ATAS,16,4,3,0,1,0.1836247667529314,6.0,8.495
TJ_01,TJ_CAWANG,21,0,1,0,0,0.11288950508916712,10.0,1.925
TJ_01,TJ_TANAH_ABANG,21,0,3,2,1,0.31199051001778677,21.0,7.635
TJ_01,TJ_TANAH_ABANG,13,1,0,0,0,0.13406430176604112,15.0,0.0
TJ_01,TJ_DUKUH_ATAS,5,1,0,3,0,0.3363018254732566,9.0,3.486
TJ_01,TJ_CAWANG,20,4,2,0,1,0.17112532959312168,14.0,5.702
MKT_01,TJ_LEBAK_BULUS,14,4,3,0,0,0.22263767886970828,8.0,4.145
TJ_02,TJ_CAWANG,22,2,1,2,0,0.05532934178946061,15.0,3.638
TJ_02,TJ_DUKUH_ATAS,15,2,1,1,0,0.38565479407261805,18.0,0.901
TJ_02,TJ_CAWANG,14,2,2,2,0,0.33434699192146905,11.0,3.985
MKT_01,TJ_LEBAK_BULUS,20,2,2,1,0,0.5264701682773539,7.0,4.083
MKT_01,TJ_BLOK_M,6,5,1,1,1,0.06378592891095129,18.0,2.87
TJ_01,TJ_LEBAK_BULUS,22,0,2,3,0,0.4282942660862765,11.0,4.253
MKT_01,TJ_BLOK_M,18,3,3,1,0,0.596753653614138,21.0,6.764
MKT_01,TJ_LEBAK_BULUS,13,5,3,0,1,0.4013891277730637,20.0,7.065
MKT_01,TJ_DUKUH_ATAS,16,1,3,0,0,0.6063484603720897,21.0,6.61
MKT_01,TJ_LEBAK_BULUS,16,2,2,1,0,0.11702332225397949,7.0,6.102
TJ_02,TJ_CAWANG,17,5,2,1,1,0.33068502573938036,22.0,6.995
TJ_02,TJ_DUKUH_ATAS,12,6,2,3,0,0.48077249764818086,9.0,5.12
TJ_02,TJ_BLOK_M,7,4,2,0,0,0.5306063279680495,22.0,3.958
TJ_02,TJ_CAWANG,21,3,0,2,0,0.06562459552830803,20.0,0.726
MKT_01,TJ_CAWANG,12,6,0,0,0,0.6451598064273012,11.0,2.282
TJ_01,TJ_TANAH_ABANG,13,6,2,3,0,0.26605168929713024,24.0,3.268
TJ_01,TJ_TANAH_ABANG,13,5,2,0,0,0.3731712911073049,18.0,1.178
MKT_01,TJ_CAWANG,18,2,3,2,1,0.537308634316921,10.0,10.331
TJ_02,TJ_DUKUH_ATAS,18,2,2,1,0,0.07807846662005637,23.0,1.732
TJ_01,TJ_LEBAK_BULUS,12,0,1,0,1,0.6303661861140992,9.0,8.024
TJ_02,TJ_BLOK_M,18,2,2,0,0,0.0867719702950532,12.0,5.375
TJ_01,TJ_DUKUH_ATAS,6,2,2,0,0,0.3822394343689571,14.0,2.143
TJ_02,TJ_LEBAK_BULUS,22,1,1,0,0,0.10699771896859499,10.0,1.341
TJ_02,TJ_DUKUH_ATAS,10,5,2,0,0,0.611580360734925,8.0,3.603
MKT_01,TJ_LEBAK_BULUS,22,6,1,0,1,0.2803683265605963,12.0,5.61
TJ_01,TJ_BLOK_M,22,5,1,1,0,0.04918291575728436,6.0,0.442
MKT_01,TJ_LEBAK_BULUS,9,3,4,0,0,0.2979625008266821,14.0,6.966
TJ_01,TJ_LEBAK_BULUS,12,1,1,0,0,0.16669466201548716,8.0,0.0
TJ_02,TJ_LEBAK_BULUS,14,5,0,1,0,0.7076199235746538,12.0,2.654
TJ_01,TJ_BLOK_M,21,3,0,0,1,0.3443406755311596,19.0,4.578
MKT_01,TJ_DUKUH_ATAS,19,0,1,1,0,0.6197512885068959,15.0,6.957
TJ_01,TJ_LEBAK_BULUS,16,3,2,0,1,0.45108344194093636,22.0,9.744
TJ_01,TJ_BLOK_M,18,5,3,1,0,0.31462498260646915,21.0,5.538
TJ_01,TJ_CAWANG,11,2,1,0,0,0.41491910084649347,19.0,3.251
TJ_01,TJ_DUKUH_ATAS,18,1,1,0,0,0.32845375155624396,16.0,4.33
MKT_01,TJ_BLOK_M,7,4,3,3,0,0.40514530162185625,16.0,8.624
TJ_02,TJ_CAWANG,22,5,1,0,0,0.47915554216314543,9.0,2.172
TJ_02,TJ_CAWANG,17,3,4,2,0,0.11281253213593287,20.0,5.332
TJ_02,TJ_LEBAK_BULUS,12,2,1,2,1,0.22155978919340988,11.0,7.868
TJ_01,TJ_TANAH_ABANG,20,6,0,3,0,0.05893744932943411,14.0,3.875
TJ_02,TJ_CAWANG,14,5,3,1,0,0.3565415572803229,6.0,5.618
TJ_01,TJ_LEBAK_BULUS,5,1,2,3,1,0.2598692793747647,19.0,8.541
TJ_02,TJ_LEBAK_BULUS,5,4,1,1,0,0.42597783477571616,12.0,2.862
TJ_01,TJ_DUKUH_ATAS,11,0,1,3,0,0.3898178102675496,7.0,2.069
TJ_02,TJ_LEBAK_BULUS,6,3,1,0,0,0.15116976169820712,22.0,1.088
TJ_01,TJ_DUKUH_ATAS,10,2,1,2,0,0.6347627932952884,23.0,3.816
MKT_01,TJ_BLOK_M,9,3,0,2,1,0.4152139962428003,14.0,10.29
TJ_01,TJ_BLOK_M,15,3,2,2,1,0.3958380294140617,13.0,6.345
TJ_02,TJ_DUKUH_ATAS,9,6,1,0,0,0.32285539484983694,9.0,4.431
TJ_01,TJ_DUKUH_ATAS,20,4,1,3,0,0.5713029001333954,16.0,4.186
TJ_01,TJ_CAWANG,10,3,3,1,0,0.37210198993465704,9.0,4.843
MKT_01,TJ_TANAH_ABANG,22,1,2,0,1,0.2177986381514521,9.0,7.699
MKT_01,TJ_CAWANG,6,3,2,1,0,0.3246340144650764,13.0,4.591
TJ_02,TJ_TANAH_ABANG,21,4,1,0,1,0.23362280114209752,12.0,6.707
TJ_01,TJ_TANAH_ABANG,14,3,1,2,0,0.1575248305060731,21.0,2.176
TJ_01,TJ_CAWANG,16,3,3,0,0,0.18171543603318507,12.0,4.696
TJ_02,TJ_TANAH_ABANG,14,2,2,0,0,0.5815896522094772,20.0,3.288
MKT_01,TJ_LEBAK_BULUS,14,5,2,1,0,0.6014463626262291,24.0,5.523
TJ_02,TJ_LEBAK_BULUS,18,6,3,0,0,0.15079752673081243,21.0,4.906
TJ_01,TJ_DUKUH_ATAS,16,5,3,1,1,0.7650819448725837,12.0,8.305
TJ_01,TJ_DUKUH_ATAS,20,1,1,0,0,0.32238245047608577,16.0,1.007
MKT_01,TJ_LEBAK_BULUS,15,5,1,0,0,0.5713412077361109,12.0,2.609
MKT_01,TJ_TANAH_ABANG,22,4,1,0,1,0.31546081425458034,14.0,5.316
TJ_02,TJ_TANAH_ABANG,9,2,3,3,0,0.6112346602454373,22.0,10.057
TJ_02,TJ_LEBAK_BULUS,17,1,3,1,0,0.3505083104532953,18.0,6.56
MKT_01,TJ_LEBAK_BULUS,8,2,1,0,0,0.7664654020735033,21.0,5.158
TJ_02,TJ_TANAH_ABANG,10,1,2,0,0,0.5590525707991536,10.0,2.651
TJ_01,TJ_BLOK_M,16,3,1,0,0,0.2659500350120027,9.0,3.348
TJ_01,TJ_TANAH_ABANG,5,6,1,0,0,0.265978971979284,9.0,2.05
TJ_02,TJ_BLOK_M,17,5,3,0,0,0.13160506150087437,21.0,3.737
TJ_01,TJ_LEBAK_BULUS,8,6,3,1,1,0.6509942691364363,15.0,9.306
TJ_01,TJ_DUKUH_ATAS,12,5,1,2,0,0.6157558756888816,18.0,2.358
TJ_02,TJ_LEBAK_BULUS,13,5,3,0,0,0.5134287899173874,16.0,5.089
MKT_01,TJ_BLOK_M,11,2,1,0,0,0.477804121016593,20.0,4.292
TJ_01,TJ_BLOK_M,17,6,3,3,0,0.4274733253212755,24.0,5.054
MKT_01,TJ_CAWANG,8,3,2,1,0,0.2608028156501503,19.0,5.228
